Year,Ref_Area_Code,Reference_Area,Economic_Activity_Code,Economic_Activity,Capital_Deepening_Growth_kserhrs,Capital_Services_Growth_kser,Gross_Value_Added_gva,Hours_hrsto,Total_Labour_Compensation_lctot,sL,sK,log_share_ratio,dy,gK,gH,dx,dx_oecd_direct,dx_gap_check,country_sector
2010,FRA,France,B,Mining and quarrying,-1.711595592,-3.846650458,2374.2,32.808,1005.992037,0.42371832069749815,0.5762816793025018,-0.3075276712441099,-0.050625803357053245,-0.03846650458,-0.02135054866128172,-0.017115955918718277,-0.017115955920000002,1.2817247263541276e-12,France | B
2011,FRA,France,B,Mining and quarrying,-0.945154194,-4.160148175,2327.4,31.77,1031.115808,0.4430333453639254,0.5569666546360745,-0.22886033321756,0.0786673380265499,-0.041601481749999995,-0.03214993980833336,-0.009451541941666634,-0.00945154194,-1.6666338448212414e-12,France | B
2012,FRA,France,B,Mining and quarrying,-3.715424659,-2.809873969,2285.7,32.059,1048.23513,0.45860573566084795,0.541394264339152,-0.1659569057581984,0.06290342745936159,-0.02809873969,0.009055506897608812,-0.03715424658760881,-0.03715424659,2.3911914115437582e-12,France | B
2013,FRA,France,B,Mining and quarrying,0.698900142,-3.749962568,2226.2,30.664,1054.141022,0.4735158664989669,0.5264841335010331,-0.10603577428118018,0.05992113147701823,-0.03749962568,-0.04448862710077961,0.006989001420779607,0.006989001419999999,7.796081488709028e-13,France | B
2014,FRA,France,B,Mining and quarrying,-2.039505725,-3.57086883,2443.2,30.198,1267.076274,0.5186134061886052,0.4813865938113948,0.07448804687457557,0.18052382115575574,-0.0357086883,-0.01531363105597583,-0.02039505724402417,-0.02039505725,5.975830941196136e-12,France | B
2015,FRA,France,B,Mining and quarrying,3.180308065,-3.364098758,2123.3,28.285,1158.986317,0.5458419992464559,0.45415800075354407,0.18388439841970514,0.10939635154512957,-0.03364098758,-0.06544406822715887,0.03180308064715887,0.03180308065,-2.8411301089548147e-12,France | B
2016,FRA,France,B,Mining and quarrying,2.848785503,-3.180537394,2042.6,26.63,1118.534519,0.5476033090179184,0.4523966909820816,0.19099170630867887,0.007107307888973735,-0.03180537394,-0.060293228969278356,0.028487855029278357,0.028487855030000002,-7.216449660063518e-13,France | B
2017,FRA,France,B,Mining and quarrying,0.664303716,-2.385875556,2079.7,25.83,1142.587593,0.5494001985863346,0.4505998014136654,0.1982475478387898,0.00725584153011094,-0.023858755559999997,-0.030501792718091725,0.006643037158091728,0.00664303716,-1.9082721514074308e-12,France | B
2018,FRA,France,B,Mining and quarrying,-1.218133238,-2.339378342,2144.0,25.542,1156.983337,0.5396377504664178,0.4603622495335822,0.15888440342538654,-0.03936314441340327,-0.023393783419999998,-0.01121245103367885,-0.012181332386321148,-0.01218133238,-6.3211484657710315e-12,France | B
2019,FRA,France,B,Mining and quarrying,-4.196455508,-1.813364009,2120.9,26.158,1167.670555,0.5505542717714177,0.4494457282285823,0.20291042909519552,0.04402602566980898,-0.01813364009,0.023830914992890584,-0.041964555082890584,-0.04196455507999999,-2.8905905447018654e-12,France | B
2020,FRA,France,B,Mining and quarrying,1.484997906,-3.930857174,2003.5,24.779,1133.43811,0.565729029198902,0.434270970801098,0.26444652061342433,0.06153609151822881,-0.03930857174,-0.054158550805355254,0.014849979065355255,0.01484997906,5.355254434347145e-12,France | B
2021,FRA,France,B,Mining and quarrying,-6.899127951,-1.598026354,2244.2,26.128,1188.343463,0.529517628999198,0.47048237100080204,0.11820796848420154,-0.1462385521292228,-0.015980263539999998,0.053011015966503816,-0.06899127950650381,-0.06899127951,3.4961894490592726e-12,France | B
2022,FRA,France,B,Mining and quarrying,-0.580453212,-2.680582609,2249.8,25.585,1251.499271,0.5562713445639611,0.4437286554360389,0.2260429657871366,0.10783499730293505,-0.02680582609,-0.021001293971054213,-0.005804532118945785,-0.00580453212,1.0542148751180314e-12,France | B
2000,FRA,France,S,Other service activities,9.82517555,4.941447708,21457.1,1279.534,20562.84995,0.9583238158931077,0.04167618410689233,3.1352558921559925,,0.04941447708,,,0.09825175550000001,,France | S
2001,FRA,France,S,Other service activities,14.4965746,4.879144097,21774.4,1162.208,21175.49509,0.9724949982548313,0.027505001745168678,3.56549706252012,0.43024117036412735,0.04879144097,-0.09617430501269109,0.14496574598269107,0.144965746,-1.7308932065418503e-11,France | S
2002,FRA,France,S,Other service activities,15.89047825,2.704074385,21914.4,1018.629,21831.74416,0.9962282407914429,0.0037717592085571017,5.576434862563318,2.0109378000431986,0.027040743850000003,-0.13186403861926532,0.15890478246926532,0.15890478249999998,-3.073466481318121e-11,France | S
2007,FRA,France,S,Other service activities,-0.542325612,2.372292329,26488.2,1049.798,26354.69962,0.9949600055873936,0.005039994412606386,5.285297567488364,-0.29113729507495467,0.02372292329,0.030140159196733407,-0.006417235906733407,-0.00542325612,-0.0009939797867334075,France | S
2000,FRA,France,M,"Professional, scientific and technical activities",-0.395981251,3.364948768,87762.1,2199.624,70214.06579,0.8000499736218708,0.1999500263781292,1.386606725527837,,0.03364948768,,,-0.00395981251,,France | M
2001,FRA,France,M,"Professional, scientific and technical activities",1.880976603,3.879356653,93486.3,2244.023,75823.67184,0.811067202788002,0.18893279721199796,1.4569595332633083,0.07035280773547137,0.03879356653,0.019983800495552373,0.018809766034447624,0.018809766029999998,4.447626295034368e-12,France | M
2002,FRA,France,M,"Professional, scientific and technical activities",6.461124395,3.735024407,98764.1,2183.675,78886.40111,0.7987355841849417,0.20126441581505827,1.3784104124476644,-0.07854912081564391,0.037350244070000004,-0.027260999876677516,0.06461124394667753,0.06461124395,-3.3224673012810513e-12,France | M
2003,FRA,France,M,"Professional, scientific and technical activities",2.216492503,3.529641261,103304.3,2212.539,80589.95612,0.7801219902753322,0.21987800972466776,1.2663774139354882,-0.11203299851217619,0.03529641261,0.01313148757762228,0.02216492503237772,0.02216492503,2.3777195490293224e-12,France | M
2004,FRA,France,M,"Professional, scientific and technical activities",-0.649055412,3.341024602,109241.0,2302.606,83489.99582,0.7642734487966972,0.23572655120330277,1.1762531905091074,-0.09012422342638082,0.03341024602,0.03990080014081876,-0.00649055412081876,-0.00649055412,-8.187599903619613e-13,France | M
2005,FRA,France,M,"Professional, scientific and technical activities",1.517912446,3.573248596,116015.2,2350.422,86339.97869,0.7442126436018729,0.2557873563981271,1.067980345051706,-0.10827284545740135,0.03573248596,0.020553361498533818,0.01517912446146618,0.01517912446,1.4661796082782175e-12,France | M
2006,FRA,France,M,"Professional, scientific and technical activities",1.515628584,3.377008469,124946.1,2394.582,92309.91843,0.7387979171018543,0.2612020828981457,1.0397300573095105,-0.028250287742195512,0.03377008469,0.01861379885671166,0.01515628583328834,0.015156285839999999,-6.7116590063420745e-12,France | M
2007,FRA,France,M,"Professional, scientific and technical activities",-0.198129327,3.629803865,133097.5,2488.022,97928.59284,0.7357658321155544,0.26423416788444565,1.0240761956608868,-0.0156538616486237,0.03629803865,0.0382793319222694,-0.0019812932722693966,-0.00198129327,-2.2693964762954266e-12,France | M
2008,FRA,France,M,"Professional, scientific and technical activities",1.869050604,4.110875209,139644.1,2544.429,102250.9365,0.7322252533404562,0.2677747466595438,1.0059420602112155,-0.01813413544967135,0.04110875209,0.02241824605498799,0.01869050603501201,0.01869050604,-4.9879891883541916e-12,France | M
2009,FRA,France,M,"Professional, scientific and technical activities",2.12761411,2.827282875,134870.1,2562.294,104762.2863,0.7767643554798284,0.22323564452017164,1.2469091141419493,0.2409670539307338,0.02827282875,0.006996687652597977,0.021276141097402022,0.0212761411,-2.5979773887740976e-12,France | M
2010,FRA,France,M,"Professional, scientific and technical activities",2.324442373,3.118535428,140541.2,2582.722,109664.2279,0.7802994986523524,0.21970050134764763,1.267412557263558,0.020503443121608678,0.03118535428,0.007940930541816549,0.023244423738183452,0.02324442373,8.183450445065077e-12,France | M
2011,FRA,France,M,"Professional, scientific and technical activities",-2.343139689,3.755497566,148859.5,2745.135,117595.8446,0.7899787692421377,0.21002123075786228,1.3247974462686158,0.05738488900505789,0.037554975659999996,0.06098637254907846,-0.023431396889078464,-0.02343139689,9.215371521431592e-13,France | M
2012,FRA,France,M,"Professional, scientific and technical activities",0.449283135,2.737755539,150652.2,2808.681,123531.013,0.8199748360793935,0.18002516392060652,1.516177011401277,0.19137956513266108,0.027377555390000002,0.022884724047482763,0.0044928313425172395,0.00449283135,-7.482760938648525e-12,France | M
2013,FRA,France,M,"Professional, scientific and technical activities",1.151646998,2.504271256,152816.6,2846.93,127948.57,0.8372687914794597,0.16273120852054035,1.6380453435266287,0.12186833212535175,0.02504271256,0.013526242581233916,0.011516469978766083,0.01151646998,-1.2339157473562068e-12,France | M
2014,FRA,France,M,"Professional, scientific and technical activities",0.154687242,2.277602567,155743.3,2908.014,132277.0121,0.8493271434469413,0.15067285655305873,1.7293334664250881,0.09128812289845945,0.022776025670000002,0.021229153256282274,0.001546872413717728,0.00154687242,-6.282272011631784e-12,France | M
2015,FRA,France,M,"Professional, scientific and technical activities",1.870877178,2.545826217,160030.6,2927.708,135239.3237,0.8450841507811632,0.15491584921883683,1.6965541478963921,-0.03277931852869598,0.025458262170000003,0.006749490385014489,0.018708771784985513,0.01870877178,4.985512003230497e-12,France | M
2016,FRA,France,M,"Professional, scientific and technical activities",0.053786121,2.637790389,164070.5,3004.346,138328.7163,0.84310534983437,0.15689465016562998,1.6815173582796505,-0.015036789616741597,0.026377903890000002,0.025840042679464936,0.0005378612105350657,0.00053786121,5.350656983454938e-13,France | M
2017,FRA,France,M,"Professional, scientific and technical activities",1.605970656,2.876578375,170237.5,3042.763,145090.0062,0.852279939496292,0.147720060503708,1.7525960407787469,0.07107868249909632,0.02876578375,0.012706077184780895,0.016059706565219104,0.01605970656,5.21910292761163e-12,France | M
2018,FRA,France,M,"Professional, scientific and technical activities",0.812272205,3.137559509,176116.9,3114.345,151892.8028,0.862454442475424,0.13754555752457598,1.835827137510855,0.08323109673210816,0.03137559509,0.023252873041473165,0.008122722048526834,0.00812272205,-1.473165339715976e-12,France | M
2019,FRA,France,M,"Professional, scientific and technical activities",-0.15240268,3.503955775,185584.3,3230.324,156146.6343,0.8413784695149321,0.15862153048506789,1.6685205285865266,-0.16730660892432847,0.03503955775,0.03656358454563424,-0.0015240267956342438,-0.0015240268000000002,4.365756454266512e-12,France | M
2020,FRA,France,M,"Professional, scientific and technical activities",8.133470444,2.44045425,177320.0,3051.558,150738.5002,0.8500930532370855,0.1499069467629145,1.7353310712064223,0.06681054261989572,0.0244045425,-0.056930161933919976,0.08133470443391998,0.08133470444,-6.080025372057207e-12,France | M
2021,FRA,France,M,"Professional, scientific and technical activities",-6.123333411,3.126425426,192205.5,3347.286,166214.5191,0.8647750407766688,0.13522495922333122,1.8555296484313075,0.12019857722488525,0.03126425426,0.09249758836748789,-0.061233334107487894,-0.06123333411,2.5121085767132456e-12,France | M
2022,FRA,France,M,"Professional, scientific and technical activities",-2.860607597,2.686641849,203163.2,3538.215,180572.335,0.8888043454720145,0.11119565452798552,2.078585824391223,0.22305617595991567,0.02686641849,0.05547249445219116,-0.028606075962191158,-0.02860607597,7.808840379874837e-12,France | M
2000,FRA,France,OTQ,"Public administration, defence, education, human health and social work activities",2.696232907,1.876003335,270662.0,9972.77,224911.9987,0.8309699872904213,0.16903001270957874,1.5925173886725412,,0.01876003335,,,0.026962329070000002,,France | OTQ
2001,FRA,France,OTQ,"Public administration, defence, education, human health and social work activities",2.98578909,1.710704312,280806.6,9846.416,232902.6101,0.8294057550641616,0.1705942449358384,1.5814215863844205,-0.011095802288120682,0.017107043120000002,-0.012750847782028174,0.029857890902028176,0.0298578909,2.0281762380669477e-12,France | OTQ
2002,FRA,France,OTQ,"Public administration, defence, education, human health and social work activities",4.235022569,1.39245927,294807.0,9570.466,244402.3415,0.8290248925568253,0.17097510744317468,1.5787322064956733,-0.0026893798887472897,0.0139245927,-0.028425632989383942,0.042350225689383944,0.04235022569,-6.160558174705955e-13,France | OTQ
2003,FRA,France,OTQ,"Public administration, defence, education, human health and social work activities",-0.065560845,1.630209551,306776.5,9734.143,253291.9492,0.8256562976629566,0.17434370233704344,1.555149930740383,-0.02358227575529015,0.01630209551,0.01695770396370122,-0.0006556084537012209,-0.0006556084500000001,-3.701220861913879e-12,France | OTQ
2004,FRA,France,OTQ,"Public administration, defence, education, human health and social work activities",-0.551747106,1.865558019,319212.4,9972.314,262090.757,0.8210544358552487,0.17894556414475127,1.5235077629183078,-0.031642167822075296,0.01865558019,0.02417305125447733,-0.005517471064477329,-0.00551747106,-4.477329097751781e-12,France | OTQ
2005,FRA,France,OTQ,"Public administration, defence, education, human health and social work activities",0.701039218,1.867101466,333102.1,10089.278,273676.8111,0.8216003774818592,0.1783996225181408,1.527228013847525,0.003720250929217128,0.01867101466,0.011660622476792781,0.0070103921832072175,0.00701039218,3.20721747770758e-12,France | OTQ
2006,FRA,France,OTQ,"Public administration, defence, education, human health and social work activities",1.559901797,1.712680016,345043.5,10104.704,283243.4331,0.8208919544926945,0.17910804550730552,1.522402268539055,-0.004825745308469909,0.01712680016,0.0015277821878338926,0.015599017972166108,0.01559901797,2.1661075710888156e-12,France | OTQ
2007,FRA,France,OTQ,"Public administration, defence, education, human health and social work activities",-1.921707419,1.576480614,359300.7,10464.441,292998.293,0.8154681941894352,0.18453180581056483,1.4859405818529952,-0.03646168668605987,0.01576480614,0.03498188032513916,-0.019217074185139158,-0.019217074190000002,4.8608443659059475e-12,France | OTQ
2008,FRA,France,OTQ,"Public administration, defence, education, human health and social work activities",0.803841184,1.598899267,372404.8,10547.971,301285.9119,0.8090280036669775,0.19097199633302253,1.443706730382566,-0.04223385147042924,0.01598899267,0.007950580828691045,0.008038411841308955,0.00803841184,1.3089546807565355e-12,France | OTQ
2009,FRA,France,OTQ,"Public administration, defence, education, human health and social work activities",1.243650212,1.699597553,386530.3,10596.174,312190.0545,0.8076729159395785,0.19232708406042154,1.4349596841339216,-0.008747046248644308,0.01699597553,0.00455947341515639,0.012436502114843609,0.01243650212,-5.156390939231592e-12,France | OTQ
2010,FRA,France,OTQ,"Public administration, defence, education, human health and social work activities",0.743948474,1.643770757,395479.5,10691.951,320101.9784,0.8094022026426149,0.19059779735738513,1.446130518974497,0.011170834840575461,0.01643770757,0.008998222834428304,0.007439484735571697,0.007439484739999999,-4.4283023428737245e-12,France | OTQ
2011,FRA,France,OTQ,"Public administration, defence, education, human health and social work activities",0.527923021,0.815949105,408022.0,10722.791,330340.6248,0.8096147384209674,0.19038526157903257,1.4475087912508648,0.0013782722763677757,0.00815949105,0.0028802608334448365,0.005279230216555164,0.00527923021,6.555163530042041e-12,France | OTQ
2012,FRA,France,OTQ,"Public administration, defence, education, human health and social work activities",1.17876434,0.851074392,416840.4,10687.711,337984.1073,0.8108237764381763,0.18917622356182373,1.4553717583696608,0.007862967118795972,0.008510743920000001,-0.0032768994758693992,0.0117876433958694,0.0117876434,-4.130600375629179e-12,France | OTQ
2013,FRA,France,OTQ,"Public administration, defence, education, human health and social work activities",0.900465137,0.701796987,426695.1,10666.499,346052.0469,0.8110054390125409,0.18899456098745915,1.4565565238421085,0.0011847654724477241,0.007017969870000001,-0.001986681499976939,0.00900465136997694,0.00900465137,-2.3059679166159697e-14,France | OTQ
2014,FRA,France,OTQ,"Public administration, defence, education, human health and social work activities",-0.616485643,0.301056524,434009.4,10764.819,352678.6525,0.8126060230492704,0.18739397695072957,1.4670331663806144,0.010476642538505887,0.00301056524,0.009175421668638606,-0.006164856428638605,-0.00616485643,1.3613945040735764e-12,France | OTQ
2015,FRA,France,OTQ,"Public administration, defence, education, human health and social work activities",-0.497858718,0.056329764,437895.0,10824.642,358421.2548,0.8185095851745281,0.1814904148254719,1.506282265970368,0.039249099589753644,0.00056329764,0.0055418848214277006,-0.004978587181427701,-0.00497858718,-1.427700839495838e-12,France | OTQ
2016,FRA,France,OTQ,"Public administration, defence, education, human health and social work activities",-0.4704041,0.279155591,443863.3,10906.084,363677.8478,0.8193465145687873,0.18065348543121273,1.511926337843241,0.005644071872872969,0.0027915559099999997,0.007495596908350777,-0.004704040998350777,-0.004704041,1.6492232926546002e-12,France | OTQ
