Year,Reference_Area_Code,Reference_Area,Gross_Value_Added_gva,Total_Labour_Compensation_lctot,Capital_Deepening_Growth_kserhrs,Capital_Services_Growth_kser,Hours_hrsto,sL,sK,log_share_ratio,dy,gK,gH,dx,dx_oecd_direct,dx_gap_check
2010,FRA,France,1792597.6,1234405.986,0.728979423,1.350627979,41177.446,0.6886129859819069,0.3113870140180931,0.7936428526564732,-0.0007813379773254914,0.013506279789999999,0.006216485566628904,0.007289794223371095,0.0072897942299999996,-6.628904890282339e-12
2011,FRA,France,1845782.1,1275622.816,0.335597428,1.474668743,41649.168,0.6911015205966078,0.3088984794033922,0.805274054055755,0.011631201399281865,0.01474668743,0.011390713144885822,0.003355974285114178,0.0033559742799999996,5.1141786118480415e-12
2012,FRA,France,1866716.6,1309531.662,1.347573798,1.325347595,41639.912,0.7015160533741437,0.2984839466258563,0.8545276323958381,0.04925357834008304,0.01325347595,-0.00022226203094355412,0.013475737980943554,0.01347573798,9.435542625002569e-13
2013,FRA,France,1894345.0,1336553.095,2.059540517,1.256643624,41306.925,0.7055489338003373,0.29445106619966266,0.8738632989704392,0.019335666574601174,0.012566436240000001,-0.008028968936180547,0.020595405176180547,0.020595405169999997,6.180549128043111e-12
2014,FRA,France,1921806.4,1358923.607,1.271247818,1.236957131,41292.763,0.7071074417277412,0.2928925582722588,0.8813767763966665,0.007513477426227211,0.01236957131,-0.0003429068676101821,0.012712478177610183,0.01271247818,-2.3898175105507846e-12
2015,FRA,France,1960327.3,1378344.363,0.955766104,1.216935475,41400.748,0.7031195061151267,0.29688049388487325,0.8621971915019613,-0.01917958489470517,0.012169354750000002,0.002611693712701424,0.009557661037298578,0.00955766104,-2.7014224190935465e-12
2016,FRA,France,1983737.7,1401409.404,0.439164822,1.362875925,41784.943,0.7064489443337192,0.2935510556662808,0.8781993551753949,0.016002163673433656,0.01362875925,0.009237111025685252,0.004391648224314749,0.00439164822,4.314749078859759e-12
2017,FRA,France,2029705.8,1442945.683,1.400202505,1.549300548,41847.29,0.7109137112383479,0.2890862887616521,0.8998258393271241,0.021626484151729186,0.015493005479999999,0.001490980434539324,0.014002025045460675,0.01400202505,-4.539325512697978e-12
2018,FRA,France,2081977.9,1478317.066,0.138610795,1.644350314,42482.169,0.710054158596016,0.28994584140398405,0.8956470950784143,-0.004178744248709787,0.01644350314,0.015057395191108824,0.001386107948891175,0.00138610795,-1.1088250543439537e-12
2019,FRA,France,2150689.8,1495194.781,0.294204416,1.78119286,43118.594,0.6952163817394773,0.3047836182605227,0.8246210612369926,-0.0710260338414217,0.0178119286,0.014869884437862524,0.002942044162137475,0.0029420441600000002,2.1374746590752114e-12
2020,FRA,France,2056545.2,1444178.363,8.983625023,1.077713336,39840.947,0.7022351675032477,0.29776483249675234,0.8579643221053646,0.033343260868371916,0.01077713336,-0.0790591168758823,0.08983625023588229,0.08983625023,5.882294651371467e-12
2021,FRA,France,2212764.4,1549734.285,-6.367563868,1.657098411,43169.828,0.700361179436907,0.299638820563093,0.8490183547083227,-0.008945967397041898,0.01657098411,0.08024662279691519,-0.0636756386869152,-0.06367563868000001,-6.915190642331481e-12
2022,FRA,France,2368609.4,1663341.94,-2.372872336,1.8589312,45035.896,0.7022440846515259,0.2977559153484741,0.8580069676588076,0.00898861295048492,0.018589312,0.04231803536338852,-0.023728723363388517,-0.02372872336,-3.388518632352344e-12
2000,DEU,Germany,1915279.0,1342337.511,1.948728853,2.358625748,58546.226,0.700857426515928,0.299142573484072,0.8513841863581034,,0.02358625748,,,0.01948728853,
2001,DEU,Germany,1977509.0,1362197.167,2.605411625,1.83582091,58097.389,0.6888449898331689,0.3111550101668311,0.7947250542502537,-0.056659132107849675,0.0183582091,-0.0076959071487916475,0.02605411624879165,0.02605411625,-1.2083493927672606e-12
